#TAG,#NAME IN REPO ( or git url),#PURPOSE
,xorg,is the graphical server.
,xorg-xinit,starts the graphical server.
,gnome-keyring,serves as the system keyring.
,nvidia,nvidia drivers for linux
,nvidia-utils,nvidia driver utilities
,arandr,is a UI for screen adjustment.
,bspwm,grphical user interface and window manager
,sxhkd,manage keyboard shortcuts
,xclip,allows for copying and pasting from the command line.
,lightdm,is display manager
,lightdm-webkit2-greeter,is greeter that uses WebKit2 for theming via HTML/JavaScript.
A,lightdm-webkit-theme-aether,"is a sleek, customizable Archlinux theme for lightdm."
,zsh,A very advanced and programmable command interpreter (shell) for UNIX
A,oh-my-zsh-git,is for managing zsh configurations.
,zsh-syntax-highlighting,Fish shell like syntax highlighting for Zsh
,zsh-autosuggestions,Fish-like autosuggestions for zsh
,tmux,A terminal multiplexer
,nodejs,Evented I/O for V8 javascript
,npm,Node.js package manager
,yarn,Another node.js package manager
,dmenu,Generic menu for X
,picom,X compositor that may fix tearing issues
,dunst,is a suckless notification system.
,libnotify,allows desktop notifications.
,flameshot,can take quick screenshots at your request.
,calcurse,is a lightweight terminal-based calendar.
,feh,is for changing wallpaper
,pulsemixer,is an intuitive ncurses audio controller.
,alsa-utils,Advanced Linux Sound Architecture - Utilities
,zathura,aids with resolution determination and screen recording.
A,zathura-pdf-mupdf,"PDF support for Zathura (MuPDF backend) (Supports PDF, ePub, and OpenXPS)"
,unrar,extracts rar's.
,zip, Compress files
,unzip,unzips zips.
,bat,Cat clone with syntax highlighting and git integration
,unclutter,hides an inactive mouse.
,tree,lists directory contents like trees. Used by vifm.
,ripgrep,A search tool that combines the usability of ag with the raw speed of grep
,fzf,is a fuzzy finder tool.
,htop,Interactive text-mode process viewer.
,trash-cli, Command line trashcan (recycle bin) interface
,ffmpeg,can record and splice video and audio on the command line.
,sxiv,is a minimalist image viewer.
,redshift,Adjusts the color temperature of your screen
,nautilus,GTK3 file manager
,neofecth,display system information in terminal
,mpv,is the patrician's choice video player.
,kitty,A cross-platform GPU-accelerated terminal emulator
A,jmtpfs,mtpfs with better support for Android
A,polybar,A fast and easy-to-use status bar
A,betterlockscreen,A simple lock script for i3lock-color
A,lf-bin,Terminal based file manager
A,dragon-drag-and-drop, SImple drag-and-drop source for X
,ibus,Next Generation Input Bus for Linux
,ibus-m17n,M17N engine for IBus
A,ibus-avro-git,Avro Phonetic Bangla typing for Linux
,ffmpegthumbnailer,(neovim note taking telekasten.nvim) Lightweight video thumbnailer that can be used by file managers
,ueberzug, (neovim note taking telekasten.nvim) display images in the terminal
,yamllint, (neovim) lint yaml file in neovim
A,nerd-fonts-complete, Nerd fonts for programming and symbols in terminal
,nitrogen,Background browser and setter for x windows
,rofi,A window switcher; application launcher and dmenu replacement
